F3E07,Number of Records,Unitid,private
10816337,1,137847,0
73407,1,137953,0
158243,1,137962,0
566094,1,138132,1
632592,1,138275,0
491127,1,138293,0
73392381,1,138309,1
5519950,1,138600,0
9898554,1,138655,1
1087406,1,138664,1
684761,1,138761,0
63495987,1,138813,1
5008002,1,138822,1
1253773,1,138868,0
14517323,1,138929,1
3083142,1,138938,1
7204569,1,138947,0
13306607,1,139074,1
562391,1,139092,1
6058366,1,139144,0
347898,1,139153,0
1532289,1,139199,0
453985,1,139205,0
2576758,1,139214,1
76422,1,139287,0
1408023,1,139348,0
2266015,1,139393,0
2172413,1,139506,1
21435080,1,139579,1
940167,1,139630,0
217148000,1,139658,0
5505,1,139995,0
2773884,1,140003,1
230000,1,140146,0
3627581,1,140234,0
4722446,1,140252,0
5842058,1,140340,1
14721929,1,140447,0
4664491,1,140553,0
4640675,1,140562,0
1788714,1,140696,0
540867,1,140720,0
2857095,1,140818,0
1779492,1,140827,1
2028685,1,140872,0
24535334,1,140951,0
1764423,1,140988,0
4745333,1,141015,1
5442177,1,141060,0
483540,1,141167,0
705490,1,141185,0
1028032,1,141237,0
1841334,1,141325,0
3083102,1,141361,0
21466308,1,141468,1
3480618,1,141486,0
1265964,1,141608,1
2390391,1,141644,0
1426185,1,141848,1
0,1,141936,0
1413443,1,141945,1
13782000,1,142054,1
179903,1,142090,0
2058350,1,142294,0
5692382,1,142337,1
190790,1,142407,1
356584,1,142416,1
2183395,1,142461,0
294671,1,142489,1
21165000,1,142522,0
955315,1,142832,0
477920,1,142869,1
451248,1,142878,1
7758558,1,142887,1
9896000,1,143048,0
4150109,1,143084,0
5101957,1,143118,0
105515,1,143233,0
809214,1,143288,0
0,1,143297,0
0,1,143303,0
13454399,1,143358,0
4717378,1,143376,1
1486209,1,143464,1
482857,1,143473,1
509611,1,143482,1
539158,1,143491,1
554761,1,143516,1
236378,1,143534,1
1579952,1,143543,1
778800,1,143552,1
1249289,1,143659,0
389080,1,143695,1
12100577,1,143853,0
2367112,1,143978,0
1046311,1,144014,0
152674270,1,144050,0
13128897,1,144281,0
2700974,1,144351,0
19660535,1,144467,1
11950704,1,144485,1
921986,1,144573,1
37591000,1,144740,0
382739944,1,144777,1
1758763,1,144795,1
927292,1,144883,0
4245326,1,144962,0
2111502,1,144971,0
2912717,1,145099,1
7877151,1,145239,1
1582724,1,145275,0
447746,1,145309,1
0,1,145354,0
1870821,1,145372,0
2452750,1,145406,1
771811,1,145424,1
935168,1,145433,1
17090158,1,145460,1
260789,1,145497,0
5888662,1,145558,0
3795097,1,145619,0
3434672,1,145628,0
4801084,1,145646,0
3707219,1,145691,0
14681000,1,145725,0
16575397,1,145770,1
2751,1,145886,0
38413608,1,146010,1
4619991,1,146241,0
1699925,1,146339,0
40850000,1,146393,1
3069556,1,146427,0
713994,1,146454,1
3206621,1,146481,0
293172,1,146490,0
172165,1,146533,0
7097726,1,146612,0
9065,1,146621,0
1034234,1,146667,0
1540193,1,146676,0
14574764,1,146700,1
46123985,1,146719,0
689084,1,146728,0
120000,1,146755,0
7197,1,146791,0
443739,1,146807,1
0,1,146816,0
551056,1,146825,0
1041062,1,146977,0
2960126,1,147013,0
49465,1,147031,0
517557,1,147129,0
7353523,1,147165,1
4748667,1,147244,0
4570453,1,147341,0
5325155,1,147369,0
159378,1,147396,0
796734,1,147439,1
2476822,1,147536,0
1467912,1,147590,0
380649,1,147642,1
5538104,1,147660,0
4699228,1,147679,0
437597,1,147697,0
16342685,1,147749,1
110389000,1,147767,0
743115,1,147819,1
5073344,1,147828,0
7284778,1,147970,1
5211421,1,148016,0
316512,1,148098,1
1818203,1,148131,0
2561996,1,148140,1
48660461,1,148177,1
8460763,1,148335,0
6834133,1,148399,1
1413609,1,148405,0
9852017,1,148487,0
3290121,1,148496,0
132330000,1,148511,0
0,1,148575,0
2589602,1,148584,0
186799,1,148593,0
5424074,1,148627,0
49532,1,148724,0
33023,1,148849,0
820799,1,148876,0
0,1,148885,0
195973,1,148955,0
1686986,1,148982,0
0,1,149028,0
794257,1,149204,1
3341315,1,149310,1
250373,1,149329,0
236751,1,149499,1
3076188,1,149505,0
2287881,1,149514,0
1521545,1,149550,1
0,1,149639,0
27361,1,149763,0
10183631,1,149781,0
339261,1,150048,0
3070000,1,150066,0
63072,1,150075,1
2151034,1,150145,0
14158000,1,150163,0
423954,1,150172,0
743696,1,150215,0
2528084,1,150251,1
888764,1,150288,0
1668074,1,150303,1
8499090,1,150400,0
692710,1,150428,1
410645,1,150437,1
2879315,1,150455,0
4912824,1,150534,0
3022850,1,150604,0
2659577,1,150668,0
1572766,1,150677,0
834845,1,150695,1
1159017,1,150710,1
2918878,1,150756,0
867226,1,150765,1
826922,1,150774,0
1663206,1,150853,1
2137290,1,150941,0
89339630,1,151166,1
6939237,1,151263,0
2388887,1,151290,0
6517262,1,151458,1
6089059,1,151467,1
250599570,1,151485,1
7488576,1,151494,1
5937326,1,151500,1
69263241,1,151519,1
172798,1,151564,1
300092,1,151607,1
9298299,1,151616,1
4877052,1,151625,1
1398013,1,151652,1
20562749,1,151661,1
2919965,1,151777,0
3728700,1,151786,0
11176047,1,151801,0
529786,1,151810,0
250765,1,151829,1
384332,1,151865,0
298849,1,151874,1
10340197,1,151944,1
432,1,151962,0
398356,1,152044,1
56251295,1,152080,0
1297924,1,152099,0
319372,1,152150,1
6042435,1,152220,1
1325563,1,152275,1
927859,1,152309,1
15741036,1,152318,0
1480903,1,152327,1
2998371,1,152336,0
1604153,1,152363,0
1246552,1,152381,0
5153151,1,152390,0
5016574,1,152415,1
318516,1,152451,0
0,1,152497,0
4960486,1,152530,0
3405695,1,152567,0
12226000,1,152600,0
534545,1,152628,1
4522274,1,152673,0
0,1,152798,0
881980,1,152822,0
910164,1,152992,0
5150338,1,153001,0
1656564,1,153074,1
2129515,1,153083,1
189056,1,153092,1
4001097,1,153108,0
1671497,1,153126,0
3145284,1,153144,0
3334843,1,153162,0
323848,1,153171,1
0,1,153241,0
2096761,1,153250,0
7721698,1,153269,0
4621349,1,153278,0
319005,1,153302,0
562132,1,153320,0
386797,1,153339,1
2177727,1,153366,0
2795629,1,153375,0
11607000,1,153384,0
3246046,1,153409,1
6312172,1,153418,1
3734393,1,153427,1
239143,1,153463,1
0,1,153542,0
431634,1,153588,1
2227016,1,153597,1
1126484,1,153621,0
1400106,1,153746,1
1812493,1,153764,1
1513320,1,153773,1
1171352,1,153782,1
2776743,1,153825,0
6426409,1,153834,0
1979000,1,153861,0
394944,1,153977,0
1883098,1,154004,0
1928194,1,154013,0
508835000,1,154022,1
2386516,1,154101,0
1748556,1,154156,0
507579,1,154165,1
3574161,1,154174,0
3047810,1,154208,1
4396724,1,154235,0
6699,1,154262,0
748115,1,154332,1
1192673,1,154341,1
3151400,1,154350,0
2166878,1,154448,1
521940,1,154457,1
701843,1,154466,1
3154881,1,154493,0
13651010,1,154518,1
3730803,1,154527,0
421598,1,154536,0
435386,1,154545,1
1281688,1,154590,0
2239206,1,154688,0
5417082,1,154712,0
1008497,1,154721,0
1154253,1,154749,0
8795504,1,154767,1
7864755,1,154776,1
1941091,1,154794,1
0,1,154837,0
369605,1,154855,0
1282840,1,154970,1
382854,1,155007,0
134660,1,155070,0
2482413,1,155089,0
481532,1,155159,1
807585,1,155177,0
9505000,1,155283,1
1698181,1,155335,0
172628,1,155353,1
829176,1,155414,0
404204,1,155441,1
286335,1,155496,0
1243233,1,155511,0
1513024,1,155520,0
2262793,1,155627,0
1231401,1,155812,0
613329,1,155867,1
1168514,1,155900,0
648438,1,155937,0
815966,1,155973,0
17992478,1,156134,1
1314816,1,156189,0
3278047,1,156213,0
1911362,1,156222,0
563200,1,156277,1
4221438,1,156286,0
6880454,1,156295,0
3797604,1,156310,1
698232,1,156356,0
2546221,1,156365,0
5590553,1,156408,0
243389,1,156417,0
2264438,1,156426,1
62745,1,156444,1
36672200,1,156471,1
2835941,1,156541,0
211374,1,156727,0
2401214,1,156745,0
550469,1,156754,1
2546941,1,156842,1
2923269,1,156903,1
144265,1,156949,1
1748594,1,156967,1
21322892,1,157021,1
72528,1,157030,0
705717,1,157076,0
968802,1,157100,0
153039,1,157207,0
2565439,1,157216,0
6954748,1,157270,1
920379,1,157298,0
688715,1,157359,0
1594023,1,157377,0
200708,1,157456,1
5621126,1,157465,1
216082,1,157508,1
2342901,1,157535,0
21415528,1,157599,1
948884,1,157614,1
825259,1,157632,0
1263845,1,157650,1
993252,1,157669,1
1448704,1,157678,1
8640119,1,157696,1
2778980,1,157748,0
1302045,1,157757,0
10253577,1,157766,1
70433494,1,157793,1
1320429,1,157809,0
3363244,1,157818,0
1136418,1,157827,1
979936,1,157863,0
520604,1,158158,1
2665202,1,158246,1
0,1,158325,0
0,1,158334,0
541127,1,158343,1
1580506,1,158440,1
2376465,1,158477,0
197466,1,158538,1
4410317,1,158617,1
749716,1,158644,1
2672234,1,158723,1
226433,1,158778,1
546570,1,158787,1
9906218,1,158802,0
1248271,1,159027,1
6500817,1,159197,1
111049,1,159319,1
335000,1,159328,1
2978051,1,159513,1
2360892,1,159522,1
373884,1,159531,1
1842799,1,159568,0
231844,1,159601,1
4983538,1,159656,0
673611,1,159948,0
396872,1,160029,0
376127,1,160065,0
379204,1,160074,0
266324,1,160117,1
212367,1,160126,1
247844,1,160135,1
527155,1,160199,1
35248343,1,160320,1
211418,1,160409,0
3814911,1,160445,1
423596,1,160472,1
102508,1,160524,0
684158,1,160597,1
54199000,1,160755,0
