name_x,czname_x,public,iclevel,tier,tier_name,avgfacsal_2013,exp_instr_pc_2013,k_median_x,k_mean,k_rank
St. Lawrence University,Watertown,0,1.0,4,Highly selective private,8789.0,13247.743,49400,64926.40727650036,0.68302906
Institute Of Audio Research,New York,0,3.0,12,Less than two-year schools of any type,,2193.0815,22100,27851.08658854167,0.44383961
Sam Houston State University,Huntsville,1,1.0,5,Selective public,7316.0,3951.9832,43000,47441.586385839866,0.62728924
University Of Arkansas At Little Rock,Little Rock,1,1.0,5,Selective public,7480.0,5005.7041,30900,37124.98828125,0.52473712
SUNY College Of Technology At Alfred,Olean,1,1.0,5,Selective public,5797.0,7300.7671,38400,40441.84932501574,0.59499949
University Of Pennsylvania,Philadelphia,0,1.0,1,Ivy Plus,15460.0,42942.691,91800,172802.519673848,0.7914964
Tyler Junior College,Tyler,1,2.0,9,Two-year (public and private not-for-profit),5121.0,2375.2104,29800,35554.50973028127,0.52369899
St. Catherine University,Minneapolis,0,1.0,6,Selective private,6737.0,7009.479,41500,45079.04209149894,0.6109851
Fox College,Chicago,0,2.0,11,Two-year for-profit,5379.0,5801.5801,28000,34451.4453125,0.49053591
Minot State University,Minot,1,1.0,5,Selective public,6338.0,5792.062,38000,41593.46738840646,0.59268612
"Bethany College of Bethany, WV",Steubenville,0,1.0,6,Selective private,5693.0,4887.981,42400,48828.984375,0.64438123
Philadelphia University,Philadelphia,0,1.0,6,Selective private,7818.0,8231.7793,49900,54721.29902580972,0.66871095
Redlands Community College,Oklahoma City,1,2.0,9,Two-year (public and private not-for-profit),4321.0,2675.7456,28400,35137.83627068015,0.51453704
Citrus Community College,Los Angeles,1,2.0,9,Two-year (public and private not-for-profit),8454.0,2531.9097,28100,33443.44549267995,0.50449359
State University Of New York College At Plattsburgh,Plattsburgh,1,1.0,5,Selective public,6830.0,7886.6577,44600,47357.6823558749,0.64262062
North Arkansas College,Harrison,1,2.0,9,Two-year (public and private not-for-profit),5162.0,3501.6619,25400,27957.37247704979,0.48290819
Brandeis University,Boston,0,1.0,2,Other elite schools (public and private),11328.0,15709.19,63100,78200.06473266317,0.71823013
William Carey University,Hattiesburg,0,1.0,6,Selective private,5888.0,5411.1143,31700,35767.033909421116,0.52692306
University Of New Mexico,Albuquerque,1,1.0,5,Selective public,8120.8862,7383.2275,34900,42844.31376642912,0.56394672
Paine College,Aiken,0,1.0,6,Selective private,5423.0,7948.5137,34100,32823.115234375,0.52414745
Sage Colleges,Albany,0,1.0,6,Selective private,5797.0,5913.6265,35300,36167.82833678464,0.5557635999999999
Ecpi University And Skyline Colleges,Virginia Beach,0,1.0,10,Four-year for-profit,5148.2412,8194.3633,30600,33907.0087712141,0.52739316
Boston University,Boston,0,1.0,4,Highly selective private,12360.0,22840.785,62000,76565.2310374222,0.71910805
Advanced Institute Of Hair Design,Milwaukee,0,2.0,11,Two-year for-profit,,2502.1504,24300,27012.46614583333,0.45323527
University Of Science & Arts Of Oklahoma,Chickasha,1,1.0,5,Selective public,5379.0,6114.5562,28400,36028.80946248056,0.51693612
Western New England University,Springfield,0,1.0,6,Selective private,9269.0,8953.4229,57100,62383.97472128666,0.73077226
Peninsula College,Port Angeles,1,1.0,7,Nonselective four-year public,5884.0,4079.5825,23600,29916.93757828982,0.47458738
Widener University,Philadelphia,0,1.0,6,Selective private,7629.1289,15999.228000000001,53400,56753.63752861523,0.68707937
Misericordia  University,Scranton,0,1.0,6,Selective private,7112.0,6080.1001,50200,49073.06694939431,0.67221808
Paul Smith's College Of Arts & Sciences,Plattsburgh,0,1.0,8,Nonselective four-year private not-for-profit,5447.0,5852.397,34000,36066.52627934855,0.55502635
Portland State University,Portland,1,1.0,5,Selective public,8286.0,5916.0928,37200,44616.127254342035,0.57309377
Midwest Technical Institute,Jackson,0,3.0,12,Less than two-year schools of any type,,3173.219,24700,31062.44791666667,0.50962543
Linn State Technical College,Columbia,1,2.0,9,Two-year (public and private not-for-profit),4615.0,7249.9165,40600,43802.71617307957,0.63070095
Southwestern Oregon Community College,Roseburg,1,2.0,9,Two-year (public and private not-for-profit),6131.0,3865.4114,27600,33414.59405982047,0.50635427
Colorado Mesa University,Grand Junction,1,1.0,5,Selective public,6428.0,3642.6011,35000,39558.620483062165,0.56082463
South Arkansas Community College,El Dorado,1,2.0,9,Two-year (public and private not-for-profit),4218.0,4279.9736,24000,28001.09599866365,0.4701722
Cumberland University,Nashville,0,1.0,6,Selective private,5864.0,5866.0186,37500,39933.12353730727,0.58177781
ASA Institute Of Business & Computer Technology,New York,0,2.0,11,Two-year for-profit,4378.0,3643.3179,19700,24916.149002130685,0.44333166
Midwestern State University,Wichita Falls,1,1.0,5,Selective public,7118.0,5622.5957,38000,42474.746174242435,0.5903976
Ventura County Community College District,Los Angeles,1,2.0,9,Two-year (public and private not-for-profit),8044.8486,1951.0483,30600,36632.466111183036,0.52405989
University Of West Florida ,Pensacola,1,1.0,5,Selective public,7392.0,4296.4888,37500,41961.735052858035,0.58256996
Pierce College,Seattle,1,2.0,9,Two-year (public and private not-for-profit),6095.5195,2914.3386,33000,35953.081356673465,0.5366086999999999
Kilgore College,Longview,1,2.0,9,Two-year (public and private not-for-profit),5845.0,2748.7327,28900,34660.80372354529,0.51624781
Oklahoma State University,Stillwater,1,1.0,5,Selective public,8254.0,6434.8384,45800,57755.434644228626,0.64380044
East Arkansas Community College,West Memphis,1,2.0,9,Two-year (public and private not-for-profit),5208.0,3204.6165,19700,24159.67094887031,0.43947351
Art Institute Of Seattle ,Seattle,0,1.0,10,Four-year for-profit,5697.0,4061.1245,29000,34776.03627695243,0.51757824
University Of North Carolina At Pembroke,Fayetteville,1,1.0,5,Selective public,6516.0,5757.4321,33100,35332.78418879777,0.54402602
University Of Arkansas At Fort Smith,Fort Smith,1,1.0,7,Nonselective four-year public,6658.0,3710.3469,27800,31162.99198937629,0.49869227
Virginia Military Institute,Staunton,1,1.0,5,Selective public,7426.0,11487.698999999999,70800,73754.66417138501,0.77968436
Massachusetts Maritime Academy,Boston,1,1.0,5,Selective public,7967.0,9683.1797,84800,92945.79612248248,0.81431878
Trine University,Fort Wayne,0,1.0,6,Selective private,7451.0439,5753.168000000001,50800,55579.85026041666,0.68955481
School Of The Art Institute Of Chicago,Chicago,0,1.0,8,Nonselective four-year private not-for-profit,9208.0,12533.454,25500,33853.53562017518,0.48858196
"Trinity College of Hartford, CT",Bridgeport,0,1.0,4,Highly selective private,10884.0,17047.99,67300,89948.47916666669,0.73203492
Thiel College,Youngstown,0,1.0,6,Selective private,6301.0,5759.4849,36300,38253.67986341059,0.58309895
Langston University,Oklahoma City,1,1.0,5,Selective public,6366.0,5475.0718,25300,31279.51163708018,0.48101056
College Of The Siskiyous,Klamath Falls,1,2.0,9,Two-year (public and private not-for-profit),7380.0,4264.3564,27900,33321.622273173314,0.49807233
Union University,Jackson,0,1.0,6,Selective private,7369.0,9130.5459,38900,44968.56119791666,0.58703029
Johnson College,Scranton,0,2.0,9,Two-year (public and private not-for-profit),5786.0,5390.9292,34000,35353.5210670406,0.53292674
Los Rios Community College District,Sacramento,1,2.0,9,Two-year (public and private not-for-profit),8060.4731,2018.6865,31200,35325.04731750142,0.52338982
College Of Health Care Professions ,Houston,0,2.0,11,Two-year for-profit,4500.9961,3560.2578,26100,27697.88020833333,0.4557018
Panola College,Longview,1,2.0,9,Two-year (public and private not-for-profit),5464.0,2919.6262,27700,35761.60373431468,0.50259739
Garrett College,Cumberland,1,2.0,9,Two-year (public and private not-for-profit),6202.0,5603.3804,27400,36659.98976934524,0.49757189
Paris Junior College,Paris,1,2.0,9,Two-year (public and private not-for-profit),6432.0,2090.2122,27200,31104.770616059388,0.49467289
Seattle Central Community College,Seattle,1,1.0,7,Nonselective four-year public,6194.0,4962.25,27800,32713.753964322,0.49891859
Grays Harbor College,Longview,1,2.0,9,Two-year (public and private not-for-profit),5610.0,4802.6572,28400,33292.46432674633,0.50651133
Skidmore College,Albany,0,1.0,4,Highly selective private,9067.0,19077.725,47500,67046.85050377481,0.65399283
"American Career College of Los Angeles, CA",Los Angeles,0,2.0,11,Two-year for-profit,5222.0,10667.995,25700,27716.02799479167,0.47268602
Northland Pioneer College,Gallup,1,2.0,9,Two-year (public and private not-for-profit),5997.0,2777.262,17800,24423.65269176728,0.41925234
Hinds Community College,Jackson,1,2.0,9,Two-year (public and private not-for-profit),5165.0,4685.0654,25000,29310.932656022404,0.48230004
Southeast Arkansas College,Pine Bluff,1,2.0,9,Two-year (public and private not-for-profit),3843.0,3331.4219,21800,25661.32904511996,0.45325497
Middlesex County College,Newark,1,2.0,9,Two-year (public and private not-for-profit),9234.0,3078.0093,35600,39739.54391797313,0.56666619
Allegany College Of Maryland,Cumberland,1,2.0,9,Two-year (public and private not-for-profit),5041.0,3524.9106,32400,33101.39778645834,0.51960993
Wesleyan University,Bridgeport,0,1.0,2,Other elite schools (public and private),11163.0,21727.468999999997,56500,70264.85240039653,0.69202679
Cardinal Stritch University,Milwaukee,0,1.0,6,Selective private,6163.0,3876.3923,39100,42224.57464736596,0.61554819
University Of Mary Hardin-Baylor,Killeen,0,1.0,6,Selective private,7197.0,6432.9082,40100,41675.56934185606,0.58579135
Gadsden State Community College,Gadsden,1,2.0,9,Two-year (public and private not-for-profit),5950.0,4007.5024,25600,30444.546970351916,0.47879541
"Citadel, The Military College Of South Carolina",Charleston,1,1.0,5,Selective public,8115.0,7875.5186,62800,66741.61343116402,0.72840154
Amherst College,Springfield,0,1.0,2,Other elite schools (public and private),11690.0,21715.02,69300,104541.74427261551,0.74838555
Stephen F Austin State University,Nacogdoches,1,1.0,5,Selective public,7087.0,5102.519,41900,46909.83413700706,0.61371124
Husson University,Bangor,0,1.0,6,Selective private,6539.0,5264.2559,34300,37043.00236229923,0.56584477
Lone Star College-North Harris,Houston,1,2.0,9,Two-year (public and private not-for-profit),6971.0,1895.4016,33700,38407.15151591867,0.54298383
Yavapai College,Flagstaff,1,2.0,9,Two-year (public and private not-for-profit),6481.0,2447.4517,27200,32028.28041441785,0.49781588
"California State University, Chico",Chico,1,1.0,5,Selective public,8370.0,5274.6841,48700,56332.84071623285,0.6554296
Sullivan County Community College - SUNY Office Of Community Coll,Poughkeepsie,1,2.0,9,Two-year (public and private not-for-profit),5181.0,5340.3188,25900,29504.23456640213,0.47775701
West Shore Community College,Ludington,1,2.0,9,Two-year (public and private not-for-profit),7880.0,3576.0366,29500,32532.26106770833,0.49464625
Butte College,Chico,1,2.0,9,Two-year (public and private not-for-profit),7923.0,2786.0522,27300,34286.5956112876,0.49785635
Louisiana College,Alexandria,0,1.0,6,Selective private,5513.0,6069.5146,40500,44813.683820105536,0.59774715
Snead State Community College,Gadsden,1,2.0,9,Two-year (public and private not-for-profit),4693.0,2426.7861,27900,29597.59892063082,0.49337977
University Of South Alabama,Mobile,1,1.0,5,Selective public,7212.0,8528.5596,36700,42217.580653486715,0.57508266
Sacred Heart University,Bridgeport,0,1.0,6,Selective private,8466.0,7040.522,57300,67295.3984375,0.71738803
College Of Central Florida,Ocala,1,1.0,7,Nonselective four-year public,5793.0,2287.7319,27100,30638.69311393045,0.48996186
Amarillo College,Amarillo,1,2.0,9,Two-year (public and private not-for-profit),6005.0,2987.7578,31000,34715.96410142978,0.52813339
Eastern Oregon University,La Grande,1,1.0,5,Selective public,6057.0,4292.7134,37300,41012.794133369986,0.57686985
Pomona College,Los Angeles,0,1.0,2,Other elite schools (public and private),12326.0,29610.455,62000,90406.20436597473,0.72083247
Wayland Baptist University,Plainview,0,1.0,6,Selective private,4845.0,4888.9502,39800,41934.10416666666,0.58463049
Louisiana State University In Shreveport,Shreveport,1,1.0,5,Selective public,6279.0,3711.4541,35600,40715.20453065814,0.5604011999999999
SBI Campus - An Affiliate Of Sanford-Brown,Providence,0,2.0,11,Two-year for-profit,4745.0,3374.8062,30000,35109.6640625,0.51177287
Allan Hancock College,Santa Barbara,1,2.0,9,Two-year (public and private not-for-profit),7896.0,2209.3928,30800,33651.392578125,0.51568305
New England Institute Of Technology,Providence,0,1.0,8,Nonselective four-year private not-for-profit,6127.0,8317.6875,39200,41554.99768675434,0.59312689
Georgetown University,Washington DC,0,1.0,2,Other elite schools (public and private),12851.0,23206.027000000002,84400,127901.4868032095,0.78446192
University Of Chicago ,Chicago,0,1.0,1,Ivy Plus,16589.0,60602.469000000005,61700,92628.02124710547,0.71939719
Palm Beach State College,Port St. Lucie,1,1.0,7,Nonselective four-year public,6086.0,2046.1545,29100,33655.05085554088,0.51016808
Kentucky State University,Lexington-Fayette,1,1.0,5,Selective public,6102.0,5685.1230000000005,28200,32159.073469444087,0.51825672
College Of Idaho ,Boise City,0,1.0,6,Selective private,5969.0,6967.4277,45700,48648.71875,0.62806821
Triton College,Chicago,1,2.0,9,Two-year (public and private not-for-profit),7474.0,1994.725,33700,38316.26173806511,0.55664814
"Union College of Schenectady, NY",Albany,0,1.0,4,Highly selective private,10454.0,18118.9,66600,83839.20732179753,0.74134564
Texas A&M University - Commerce,Paris,1,1.0,5,Selective public,7743.0,4268.292,38000,42755.61517565075,0.59801602
Moore Norman Technology Center School District No. 17,Oklahoma City,1,2.0,9,Two-year (public and private not-for-profit),,8050.8594,25100,28801.721756495786,0.46284673
Salem State University,Boston,1,1.0,5,Selective public,8765.0,5920.8105,42400,44366.51935778166,0.61515796
Oakton Community College,Chicago,1,2.0,9,Two-year (public and private not-for-profit),9783.0,4095.7129,33500,37802.77983936135,0.54581362
Arcadia University,Philadelphia,0,1.0,6,Selective private,7962.0,7322.0762,44900,51423.242301274266,0.64650625
Antelope Valley College,Los Angeles,1,2.0,9,Two-year (public and private not-for-profit),8477.0,2081.8438,25700,32210.87520372112,0.49143338
Summit College,Los Angeles,0,3.0,12,Less than two-year schools of any type,,4030.7734,20800,25353.248046875,0.43648317
University Of Oklahoma,Oklahoma City,1,1.0,5,Selective public,9210.1602,14367.479,47200,60478.564747889715,0.65320176
Virginia Commonwealth University,Richmond,1,1.0,5,Selective public,8242.0,10565.219,40200,46673.72252046724,0.60991919
Eastern Washington University,Spokane,1,1.0,5,Selective public,7287.0,5215.8955,41700,47043.811280515794,0.61059248
Seminole State College Of Florida,Orlando,1,1.0,7,Nonselective four-year public,5804.0,2071.4346,29300,32925.70992348441,0.51083696
Mid-Plains Community College,North Platte,1,2.0,9,Two-year (public and private not-for-profit),5918.0,3925.8564,29400,32317.148379609214,0.51559907
Colby Community College,Colby,1,2.0,9,Two-year (public and private not-for-profit),4438.0,4377.8608,33200,36567.61060855263,0.56075186
Curry College,Boston,0,1.0,6,Selective private,8319.0,8274.1074,38800,42157.56095805921,0.59097224
Indian River State College,Port St. Lucie,1,1.0,7,Nonselective four-year public,8039.0,2869.198,26500,30725.4617751946,0.49473757
Colorado Northwestern Community College,Steamboat Springs,1,2.0,9,Two-year (public and private not-for-profit),4769.0,5376.7168,32700,42997.68213695251,0.55882454
Jefferson Davis Community College,Atmore,1,2.0,9,Two-year (public and private not-for-profit),5636.0,4197.147,20400,28056.0703125,0.4610891
Miller-Motte Technical College & McCann School Of Business & Technology,Reading,0,2.0,11,Two-year for-profit,3842.1484,3464.1606,22000,23668.555634469703,0.43383491
Chadron State College,Scottsbluff,1,1.0,5,Selective public,6702.0,3570.1709,38600,44111.40315650778,0.62104261
Saint John Fisher College,Buffalo,0,1.0,6,Selective private,8342.0,7866.606,46500,53154.37406907126,0.66995788
Seattle University,Seattle,0,1.0,6,Selective private,9051.0,12148.22,55400,62215.05562549762,0.69313949
Harris - Stowe State University,St. Louis,1,1.0,7,Nonselective four-year public,5346.0,4395.0337,29700,30845.938055390987,0.51578569
East Mississippi Community College,Meridian,1,2.0,9,Two-year (public and private not-for-profit),5927.0,3581.1255,25200,29430.63560159878,0.48435375
Houghton College,Olean,0,1.0,6,Selective private,4007.0,8620.6299,35300,41438.133592842634,0.56044495
Richard Stockton College Of New Jersey ,Philadelphia,1,1.0,5,Selective public,9242.0,7278.2939,48600,51324.03945284008,0.65661794
Georgia Southwestern State University,Americus,1,1.0,5,Selective public,5689.0,4479.9771,37400,38792.12922205379,0.57804483
University Of Alabama At Birmingham,Birmingham,1,1.0,5,Selective public,10170.0,14633.45,38100,45752.646061513966,0.58612907
University Of Nevada - Las Vegas,Las Vegas,1,1.0,5,Selective public,9986.0,6698.0903,41500,47090.536391512665,0.60697627
Weatherford College,Fort Worth,1,2.0,9,Two-year (public and private not-for-profit),5647.0,3085.3245,28600,34980.2358678344,0.51556921
Milwaukee School Of Engineering,Milwaukee,0,1.0,4,Highly selective private,8286.0,9051.0361,72700,73211.01969640395,0.79528409
Adams State University,Alamosa,1,1.0,5,Selective public,5986.0,5938.9795,34100,38010.81340704449,0.55242109
Smith College,Springfield,0,1.0,4,Highly selective private,11800.0,23380.417999999998,46600,52391.74414721597,0.63975894
College Of Our Lady Of The Elms,Springfield,0,1.0,6,Selective private,6340.0,5230.561,45400,51919.63073007405,0.65721375
Fayetteville Technical Community College,Fayetteville,1,2.0,9,Two-year (public and private not-for-profit),5225.0,3695.3811,24400,28438.82682322333,0.47295529
Florida Gulf Coast University,Cape Coral,1,1.0,5,Selective public,7382.0,4998.5591,39700,43469.07602731805,0.5995844
"Emmanuel College of Boston, MA",Boston,0,1.0,6,Selective private,8155.0,6240.8721,46600,48810.57291666666,0.64191413
Lehigh University,Allentown,0,1.0,2,Other elite schools (public and private),12344.0,15683.051000000001,81200,103248.7495230884,0.78552538
Lorenzo Walker Institute Of Technology,Cape Coral,1,2.0,9,Two-year (public and private not-for-profit),,6685.1738,18300,21055.68167401175,0.40151072
