Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Enrft,Enrpt,Enrtot,Number of Records,Unitid (Drvef2013),Unitid
6974,17400,,7274,17700,,8444,18870,,1525,1721,3246,1,106980,106980
8116,7541,,8404,7829,,9892,9317,,784,569,1353,1,106999,106999
20270,26634,26634,20270,26634,26634,20270,26634,26634,4820,1418,6238,1,107044,107044
13656,20812,18934,13656,20812,18934,19776,26932,25054,2953,630,3583,1,107071,107071
41916,49830,52536,41916,49830,52536,41916,49830,52536,1434,10,1444,1,107080,107080
26384,29014,34776,26384,29014,34776,26384,29014,34776,1698,898,2596,1,107141,107141
8458,17787,,8938,18267,,13498,22827,,703,1090,1793,1,107318,107318
9732,21701,,10012,21981,,11412,23381,,619,806,1425,1,107327,107327
7539,15694,,8115,16270,,9819,17974,,1079,1088,2167,1,107460,107460
4921,9789,,4921,9789,,4921,9789,,244,8,252,1,107488,107488
26270,32870,32610,26270,32870,32610,26270,32870,32610,1507,36,1543,1,107512,107512
6671,16257,,6671,16257,,9221,18807,,584,917,1501,1,107521,107521
7814,15369,,7814,15369,,10166,17721,,873,616,1489,1,107549,107549
29481,38715,36379,29481,38715,36379,29481,38715,36379,571,14,585,1,107558,107558
7635,13349,,7782,13496,,8559,14273,,1270,879,2149,1,107585,107585
18010,28340,24986,18010,28340,24986,18010,28340,24986,523,33,556,1,107600,107600
8725,13225,,9085,13585,,10405,14905,,757,1272,2029,1,107619,107619
7480,11980,,7480,11980,,9940,14440,,850,751,1601,1,107637,107637
12280,19271,,12280,19271,,14020,21011,,5062,5465,10527,1,107664,107664
9338,18025,,9488,18175,,11453,20140,,732,728,1460,1,107725,107725
8817,16522,,9153,16858,,11673,19378,,411,546,957,1,107743,107743
6811,18205,,6811,18205,,6811,18205,,264,66,330,1,107840,107840
18174,24142,23886,18174,24142,23886,18174,24142,23886,486,88,574,1,107877,107877
10873,27133,,11161,27421,,12937,29197,,717,915,1632,1,107974,107974
14274,21424,19438,14274,21424,19438,17424,24574,22588,2561,843,3404,1,107983,107983
11227,20959,18019,11227,20959,18019,12667,22399,19459,653,1077,1730,1,107992,107992
9116,17628,16498,9116,17628,16498,14660,23172,22042,5116,2054,7170,1,108092,108092
