Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Number of Records,Unitid
7408,18568,,7408,18568,,13108,24268,,1,118684
43044,54204,53834,43044,54204,53834,43044,54204,53834,1,118693
6817,17752,,6817,17752,,11569,22504,,1,118718
7273,18433,,7273,18433,,12385,23545,,1,118772
46285,57325,56812,46285,57325,56812,46285,57325,56812,1,118888
7124,18284,,7124,18284,,11564,22724,,1,118912
8152,19177,,8152,19177,,13048,24073,,1,118930
7208,18224,,7208,18224,,12104,23120,,1,118976
7200,20898,,7200,20898,,11496,25194,,1,119067
7373,18533,,7373,18533,,13035,24195,,1,119137
5900,17168,,5900,17168,,11976,23244,,1,119164
40570,51876,51100,40570,51876,51100,40570,51876,51100,1,119173
7371,18531,,7371,18531,,12921,24081,,1,119216
29045,35687,,29045,35687,,29045,35687,,1,119234
29646,40572,,29646,40572,,29646,40572,,1,119270
7127,18287,,7127,18287,,11927,23087,,1,119331
21719,33068,,21719,33068,,21719,33068,,1,119359
18230,29282,,18230,29282,,18230,29282,,1,119368
21912,33279,,21912,33279,,21912,33279,,1,119508
13638,27430,,13638,27430,,13638,27430,,1,119544
17416,27336,,17416,27336,,17416,27336,,1,119605
31586,45149,,31586,45149,,31586,45149,,1,119775
,,,,,,,,,1,120069
,,,,,,,,,1,120078
,,,,,,,,,1,120087
11500,20300,,11500,20300,,11500,20300,,1,120166
37256,49462,49038,37256,49462,49038,37256,49462,49038,1,120184
,,63363,,,63363,,,63363,1,120254
7658,20402,,7658,20402,,12890,25634,,1,120290
8021,21208,,8021,21208,,13157,26344,,1,120342
44530,55430,55430,44530,55430,55430,44530,55430,55430,1,120403
7373,18533,,7373,18533,,13035,24195,,1,120421
32035,43195,39537,32035,43195,39537,32035,43195,39537,1,120537
,,,,,,,,,1,120661
27940,32140,37540,27940,32140,37540,27940,32140,37540,1,120838
33465,44625,39852,33465,44625,39852,33465,44625,39852,1,120865
45795,56955,57033,45795,56955,57033,45795,56955,57033,1,120883
10486,17236,,10486,17236,,10486,17236,,1,120953
5555,16966,,5555,16966,,9699,21110,,1,120971
7892,17710,,7892,17710,,12908,22726,,1,121044
48302,61192,61192,48302,61192,61192,48302,61192,61192,1,121150
48018,63018,61416,48018,63018,61416,48018,63018,61416,1,121257
36844,45700,,36844,45700,,36844,45700,,1,121275
36341,47501,44593,36341,47501,44593,36341,47501,44593,1,121309
45630,53718,59730,45630,53718,59730,45630,53718,59730,1,121345
6226,15402,,6226,15402,,11910,21086,,1,121363
28057,33425,,28057,33425,,28057,33425,,1,121381
7127,18287,,7127,18287,,11159,22319,,1,121619
47343,58503,58559,47343,58503,58559,47343,58503,58559,1,121691
6043,16139,12686,6043,16139,12686,6043,16139,12686,1,121707
7118,17963,,7118,17963,,11678,22523,,1,121886
7654,20166,,7654,20166,,13354,25866,,1,121901
22479,28383,,22479,28383,,22479,28383,,1,121983
7080,17682,,7080,17682,,13176,23778,,1,122180
8062,19618,,8062,19618,,11994,23550,,1,122205
7127,18287,,7127,18287,,11687,22847,,1,122339
20214,27510,,20214,27510,,20214,27510,,1,122366
7127,18287,,7127,18287,,11687,22847,,1,122375
